label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
paper,0.0,0.0,0.0,-0.06710787,-0.41324213,-0.19527428,0.053499024,-0.78227013,-0.33103803,0.13212912,-1.071436,-0.45032096,0.1412247,-1.3366923,-0.57827145,0.74421275,-0.5930117,-0.27221486,1.0325593,-0.79717606,-0.4138134,1.2005544,-0.92714727,-0.5302655,1.3782724,-1.0409927,-0.62723494,0.8953128,-0.3265669,-0.30293408,1.2766912,-0.4000776,-0.41745877,1.489415,-0.42802775,-0.5289788,1.7201499,-0.45220014,-0.62377656,0.90716213,-0.048932336,-0.35103086,1.2974857,-0.032663997,-0.5070225,1.5249572,0.0011533868,-0.61897683,1.7559607,0.014615789,-0.7015991,0.8168547,0.2091912,-0.4106304,1.1380842,0.3200024,-0.5741645,1.3261825,0.41645834,-0.6408377,1.5153276,0.49336785,-0.68447226,0.6808589,6.8349895
paper,0.0,0.0,0.0,-0.17913069,-0.32965997,-0.104533724,-0.15492538,-0.7006488,-0.16168332,-0.13180196,-0.9654823,-0.21975076,-0.17222992,-1.1862402,-0.28334245,0.45223978,-0.8773557,-0.0891509,0.6374,-1.2114155,-0.20675738,0.74950683,-1.423171,-0.3123026,0.85008854,-1.602628,-0.39724398,0.6372839,-0.75521773,-0.15334715,0.92523265,-1.0700451,-0.26090965,1.1039226,-1.2729701,-0.37021548,1.2559674,-1.4433174,-0.4528937,0.7383169,-0.57578707,-0.23746353,1.0665815,-0.83491486,-0.37834045,1.2658718,-1.0094525,-0.47764462,1.4330682,-1.1773517,-0.54800135,0.7588526,-0.3482899,-0.32967836,1.0573989,-0.4628713,-0.4745244,1.2462986,-0.56715345,-0.53674376,1.413712,-0.68622005,-0.5782276,0.43956158,4.484927
paper,0.0,0.0,0.0,-0.029796118,-0.43528116,-0.19323151,0.103842705,-0.81855416,-0.32416135,0.19655725,-1.1203518,-0.43660122,0.2215387,-1.4037483,-0.5608939,0.767204,-0.605855,-0.30410635,1.1362824,-0.8233528,-0.45170337,1.3628231,-0.9420418,-0.56607366,1.5842762,-1.0429764,-0.66190034,0.88711387,-0.31551418,-0.33686754,1.319008,-0.38546744,-0.47653386,1.5845686,-0.42749107,-0.60693264,1.8454621,-0.4746642,-0.71237075,0.8685275,-0.028733918,-0.38348305,1.2880691,0.014420361,-0.56893253,1.5604086,0.055617042,-0.7147608,1.8222505,0.0710306,-0.8188854,0.74438614,0.23226118,-0.43823618,1.0435613,0.42118624,-0.63997877,1.2305229,0.55346984,-0.7405741,1.4135802,0.652384,-0.80574405,0.6274903,7.445754
paper,0.0,0.0,0.0,-0.20396155,-0.6121222,-0.11369478,-0.5366557,-1.0794919,-0.23402907,-0.84306663,-1.4104097,-0.32717752,-1.0942099,-1.6391206,-0.43364778,-0.85618734,-0.6953964,-0.41689405,-1.4708316,-0.61834,-0.5763881,-1.8130718,-0.54611224,-0.6517098,-2.0834105,-0.47327766,-0.691317,-0.8684707,-0.23717543,-0.4353235,-1.5332336,-0.19612873,-0.59335405,-1.932679,-0.15673664,-0.6643816,-2.2246792,-0.13446908,-0.7089986,-0.86036175,0.18523677,-0.4435823,-1.4825834,0.16566008,-0.5613969,-1.8676819,0.15137145,-0.62617457,-2.14752,0.12572505,-0.6658564,-0.82914734,0.5360934,-0.45159552,-1.3304325,0.46092358,-0.5512296,-1.6272153,0.41558814,-0.5934435,-1.86839,0.36599806,-0.6115774,0.36750615,7.7743936
paper,0.0,0.0,0.0,-0.22268172,-0.43512374,-0.11095539,-0.5654659,-0.7963393,-0.20677155,-0.85528195,-1.0762492,-0.27018663,-1.0780421,-1.2848468,-0.33839938,-0.8412677,-0.4532772,-0.39388645,-1.3470767,-0.64948624,-0.5105977,-1.6585019,-0.7441449,-0.5488257,-1.9135792,-0.79644406,-0.575869,-0.9106432,-0.11832067,-0.39589036,-1.4680306,-0.17015308,-0.5241271,-1.814115,-0.18171918,-0.5785634,-2.0894203,-0.16252048,-0.61891407,-0.91991794,0.19564551,-0.3854277,-1.4650346,0.306797,-0.51692,-1.7919699,0.387381,-0.60041296,-2.0434537,0.46531433,-0.65474254,-0.88223547,0.43729752,-0.36976436,-1.3081336,0.5998886,-0.5090989,-1.549046,0.7149899,-0.58668363,-1.7665558,0.8108447,-0.62888473,0.6592663,7.4917617
paper,0.0,0.0,0.0,0.03135132,-0.61038,-0.0164168,-0.12697117,-1.0430454,-0.028272673,-0.3256557,-1.3601084,-0.029834943,-0.47970417,-1.5900444,-0.03219455,-0.5869302,-1.0108045,-0.09370272,-0.9946907,-1.2349869,-0.12531039,-1.2324369,-1.3371171,-0.13890372,-1.4199713,-1.3954027,-0.14781387,-0.71867806,-0.6874283,-0.10461471,-1.1458771,-0.91299087,-0.14540258,-1.4048285,-1.0225878,-0.16910045,-1.5890648,-1.0894532,-0.18263464,-0.7945565,-0.33187518,-0.108501434,-1.1927637,-0.5445345,-0.14299282,-1.4391915,-0.6589098,-0.17394361,-1.6207082,-0.7340284,-0.1923565,-0.8082867,0.014476444,-0.1080842,-1.1245676,-0.13007359,-0.14045395,-1.3188295,-0.20476374,-0.15353234,-1.4736538,-0.27537194,-0.15342289,0.35129783,4.4492087
paper,0.0,0.0,0.0,0.15030597,-0.6111977,-0.06654495,0.45166582,-1.0966442,-0.16886583,0.7738968,-1.4358811,-0.24008453,1.0415859,-1.6754913,-0.32011786,0.65363,-0.868029,-0.48138073,1.2546068,-1.0999471,-0.6622219,1.6194497,-1.1925219,-0.7342998,1.8932183,-1.2401782,-0.7655789,0.726104,-0.4551285,-0.515394,1.3978249,-0.5926837,-0.6843478,1.8106196,-0.641595,-0.73937744,2.0963726,-0.6562728,-0.7727028,0.77465636,-0.029164396,-0.52590555,1.4067394,-0.14057012,-0.671337,1.7887222,-0.18495323,-0.7189218,2.0669172,-0.21471368,-0.74597144,0.7900788,0.3496903,-0.5250385,1.295478,0.3641343,-0.6508074,1.5977978,0.37990773,-0.67986065,1.8569866,0.383253,-0.6884978,0.6182782,7.7141376
paper,0.0,0.0,0.0,-0.0015513112,-0.45607626,-0.14585857,0.16031519,-0.86385965,-0.22889023,0.2987767,-1.159519,-0.29810324,0.37193552,-1.4083759,-0.37184924,0.78510827,-0.6396205,-0.16406585,1.0923963,-0.89750195,-0.26669598,1.2989354,-1.0422192,-0.3593347,1.4872435,-1.1460867,-0.4342669,0.91091657,-0.36879292,-0.18499383,1.3072093,-0.50796694,-0.2767603,1.568907,-0.5693573,-0.36901906,1.7991813,-0.6132817,-0.44134971,0.9261611,-0.09208677,-0.22346213,1.3296015,-0.10793511,-0.34018302,1.5905784,-0.10398998,-0.4414482,1.8169446,-0.11273563,-0.5126227,0.8553054,0.18148266,-0.27221683,1.1869506,0.29350486,-0.3919964,1.4035738,0.37615559,-0.45697516,1.6018717,0.4326341,-0.49975362,0.6174435,6.745832
paper,0.0,0.0,0.0,-0.16026776,-0.5753623,-0.044641092,-0.43135655,-0.96758366,-0.11131735,-0.70686996,-1.2914134,-0.1604044,-0.9106447,-1.5384614,-0.22091454,-0.8564221,-0.63323253,-0.28302857,-1.4000615,-0.82595026,-0.3731207,-1.7234015,-0.9072472,-0.40358084,-1.9700682,-0.9494465,-0.4199762,-0.92385393,-0.22945493,-0.30634043,-1.5358483,-0.30401352,-0.40866053,-1.8973237,-0.30461863,-0.45181993,-2.1496522,-0.29756567,-0.47865158,-0.9211612,0.16139819,-0.31336746,-1.4934453,0.116208404,-0.39600322,-1.8393637,0.11333079,-0.4484931,-2.0835853,0.11424098,-0.48266605,-0.8569787,0.49728167,-0.31224316,-1.3080938,0.4589193,-0.39226535,-1.5720793,0.4355687,-0.42581418,-1.7897968,0.39414483,-0.43827888,0.67870605,7.322298
paper,0.0,0.0,0.0,-0.2325756,-0.4488794,-0.11642082,-0.57046837,-0.8646691,-0.25396535,-0.8381719,-1.2117503,-0.35641247,-1.0273933,-1.4987674,-0.47349623,-0.7410782,-0.5856831,-0.5646873,-1.2688168,-0.8247256,-0.7541195,-1.5920999,-0.9303204,-0.8310391,-1.8718604,-0.9969577,-0.8819639,-0.77504796,-0.22943108,-0.58878,-1.3492999,-0.3161735,-0.79206616,-1.7142041,-0.3308458,-0.8782528,-2.0256455,-0.32384598,-0.94736904,-0.79312,0.12687302,-0.59280306,-1.3652909,0.17384066,-0.78558284,-1.7192391,0.21519089,-0.88417584,-2.0051444,0.26391086,-0.95089513,-0.79311466,0.42507666,-0.58824545,-1.2930325,0.5674465,-0.77197236,-1.5631936,0.68832564,-0.86055404,-1.8006804,0.79581493,-0.91321784,0.6935468,8.206846
